categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Alimento Bebe,286139,Alimento Para Bebe NUTRIBABY Manzana Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Alimento Bebe,286130,Alimento Para Bebe NUTRIBABY Manzana Y Banana Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Alimento Bebe,286135,Alimento Para Bebe NUTRIBABY Manzana Y Pera Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Alimento Bebe,286134,Alimento Para Bebe NUTRIBABY Mix De Frutas Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Alimento Bebe,286136,Alimento Para Bebe NUTRIBABY Pack Frutal Pak 452 Grm,53.35,Precio por 1 Kilo : $118.03
Alimentos Secos,Alimento Bebe,286138,Alimento Para Bebe NUTRIBABY Pera Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Alimento Bebe,286132,Alimento Para Bebe NUTRIBABY Vegetal Con Arroz  Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Alimento Bebe,286133,Alimento Para Bebe NUTRIBABY Vegetal Con Carne Pak 113 Grm,16.25,Precio por 1 Kilo : $143.80
Alimentos Secos,Sabores Del Mundo,236912,Aceite Oliva COLAVITA Extra Virgen Bot 500 Ml,235.39,Precio por 1 Litro : $470.78
Alimentos Secos,Sabores Del Mundo,210325,Aceite Oliva Filippo Beri Puro Bot 500 Ml,235.39,Precio por 1 Litro : $470.78
Alimentos Secos,Sabores Del Mundo,195700,Aceite Oliva FILIPPO BERIO Extra Virgen Bot 250 Ml,128.39,Precio por 1 Litro : $513.56
Alimentos Secos,Sabores Del Mundo,203430,Aceitunas Verdes YBARRA Rellenas C/Pimient Fra 240 Grm,124.15,Precio por 1 Kilo escurrido: $874.29
Alimentos Secos,Sabores Del Mundo,203432,Aceitunas Verdes YBARRA Rellenas C/Salmon Fra 240 Grm,85.59,Precio por 1 Kilo escurrido: $602.74
Alimentos Secos,Sabores Del Mundo,213419,Aceto Balsamico COLAVITA Bot 500 Ml,134.85,Precio por 1 Litro : $269.70
Alimentos Secos,Sabores Del Mundo,261531,Aderezo TAU DELTA Chimichurri Pet 340 Grm,47.09,Precio por 1 Kilo : $138.50
Alimentos Secos,Sabores Del Mundo,57060,Arroces Con Azafran  LA CARMELITA P/Paella Est 5 Uni,72.75,Precio por 1 Kilogramo : $727.50
Alimentos Secos,Sabores Del Mundo,219130,Arroz Riso Arborio DE CECCO Cja 1 Kg,221.95,Precio por 1 Kilogramo escurrido: $221.95
Alimentos Secos,Sabores Del Mundo,228926,Berenjenas Condimentadas En Aceite ALCARAZ Fra 300 Grm,111.39,Precio por 1 Kilo escurrido: $556.95
Alimentos Secos,Sabores Del Mundo,118834,Cafe Molido SEGAFREDO Espresso Casa Paq 250 Grm,88.29,Precio por 1 Kilo : $353.16
Alimentos Secos,Sabores Del Mundo,118833,Cafe Molido SEGAFREDO Intermezzo Paq 250 Grm,85.59,Precio por 1 Kilo : $342.36
Alimentos Secos,Leches En Polvo,243504,Crema En Polvo COFFEE MATE Light Tar 170 Grm,42.75,Precio por 1 Kilo : $251.47
Alimentos Secos,Leches En Polvo,261955,Leche E/Polvo Descremada C/C SVELTY Pou 400 Grm,50.4,Precio por 1 Kilo : $126.00
Alimentos Secos,Leches En Polvo,177747,Leche E/Polvo Inst.Ent PURISIMA Pou 400 Grm,41.32,Precio por 1 Kilo : $103.30
Alimentos Secos,Leches En Polvo,229289,Leche E/Polvo Nido,53.49,Precio por 1 Kilo : $133.72
Alimentos Secos,Leches En Polvo,254033,Leche En Polvo Descremada Con LA SERENISIMA Bsa 200 Grm,39.05,Precio por 1 Kilo : $195.25
Alimentos Secos,Leches En Polvo,128918,Leche En Polvo Descremada COTO Est 400 Grm,49.25,Precio por 1 Kilo : $123.12
Alimentos Secos,Leches En Polvo,254037,Leche En Polvo Descremada LA SERENISIMA C/Vit B Est 400 Grm,65.29,Precio por 1 Kilo : $163.22
Alimentos Secos,Leches En Polvo,114608,Leche En Polvo Descremada PURISIMA Est 400 Grm,64.19,Precio por 1 Kilo : $160.47
Alimentos Secos,Leches En Polvo,256851,Leche En Polvo Descremada SAN REGIM Dieta Equi Cja 500 Grm,102.75,Precio por 1 Kilo : $205.50
Alimentos Secos,Leches En Polvo,231420,Leche En Polvo Descremada SANCOR 30 Sticks Cja 150 Grm,53.49,Precio por 1 Kilo : $356.60
Alimentos Secos,Leches En Polvo,262152,Leche En Polvo Descremada SVELTY Bsa 800 Grm,112.35,Precio por 1 Kilo : $140.43
Alimentos Secos,Leches En Polvo,261367,Leche En Polvo Descremada SVELTY C/Vitam A&D Paq 600 Grm,87.85,Precio por 1 Kilo : $146.41
Alimentos Secos,Legumbres,262109,Arvejas EGRAN Secas Partidas Bsa 500 Grm,17.15,Precio por 1 Kilo escurrido: $34.30
Alimentos Secos,Legumbres,25023,Arvejas Partidas ELIO Bol 400 Grm,18.85,Precio por 1 Kilo : $47.12
Alimentos Secos,Legumbres,127115,Arvejas Partidas LA EGIPCIANA Bol 400 Grm,16.05,Precio por 1 Kilo : $40.12
Alimentos Secos,Legumbres,170565,Arvejas Partidas LONQUIMAY Bol 400 Grm,12.85,Precio por 1 Kilo : $32.12
Alimentos Secos,Legumbres,6686,Arvejas Partidas RAMONEDA Bol 500 Grm,16.05,Precio por 1 Kilo : $32.10
Alimentos Secos,Legumbres,281870,Garbanzos CIUDAD DEL LAGO Secos Remojados Lat 350 Grm,14.95,Precio por 1 Kilo escurrido: $42.71
Alimentos Secos,Legumbres,262114,Garbanzos EGRAN Bsa 500 Grm,32.09,Precio por 1 Kilo escurrido: $64.18
Alimentos Secos,Legumbres,25028,Garbanzos ELIO Bol 400 Grm,24.6,Precio por 1 Kilo : $61.50
Alimentos Secos,Legumbres,202029,Garbanzos INALPA Secos Remojados Lat 350 Grm,16.05,Precio por 1 Kilo escurrido: $78.29
Alimentos Secos,Legumbres,128964,Garbanzos INCA Secos Remojados Lat 350 Grm,16.05,Precio por 1 Kilogramo escurrido: $79.46
Alimentos Secos,Legumbres,127116,Garbanzos LA EGIPCIANA Bol 400 Grm,17.15,Precio por 1 Kilo : $42.87
Alimentos Secos,Legumbres,170568,Garbanzos LONQUIMAY Bol 400 Grm,12.85,Precio por 1 Kilo : $32.12
Alimentos Secos,Encurtidos,197372,Aceituna Negra CASTELL Fra 300 Grm,48.49,Precio por 1 Kilo escurrido: $242.45
Alimentos Secos,Encurtidos,294966,Aceituna Vde.Desc Castell Fra 360 Grm,50.29,Precio por 1 Kilo escurrido: $279.38
Alimentos Secos,Encurtidos,124091,Aceituna Vde.Rell CASTELL Fra 300 Grm,41.75,Precio por 1 Kilo escurrido: $208.75
Alimentos Secos,Encurtidos,114618,Aceituna Verde CASTELL Fra 300 Grm,37.79,Precio por 1 Kilo escurrido: $188.95
Alimentos Secos,Encurtidos,220071,Aceituna Verde Gordal CASTELL Fra 800 Grm,139.09,Precio por 1 Kilo escurrido: $278.18
